trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
49,False,"{'a': 0.95, 'e': 0.0809947108175928}",25,6,31.092595746703388,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.95, 'e': 0.07694497527671315}",30,16,11.09907300238412,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.95, 'e': 0.07309772651287749}",20,2,30.146402035020223,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.95, 'e': 0.06944284018723361}",20,7,23.02297893887792,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.95, 'e': 0.06597069817787193}",30,13,13.054615559748553,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.95, 'e': 0.06267216326897833}",25,11,-22.542014567076777,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
55,False,"{'a': 0.95, 'e': 0.05953855510552941}",20,16,7.503880071514917,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.95, 'e': 0.056561627350252934}",30,24,10.100769799058906,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.95, 'e': 0.053733545982740286}",25,10,-17.423727423545273,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
58,False,"{'a': 0.95, 'e': 0.051046868683603266}",25,0,6.7801237943937664,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
59,False,"{'a': 0.95, 'e': 0.048494525249423104}",20,7,23.159396188656213,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.95, 'e': 0.046069798986951946}",20,9,17.406381548547984,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.95, 'e': 0.043766309037604346}",20,9,-4.091513261376972,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
62,False,"{'a': 0.95, 'e': 0.04157799358572413}",30,10,32.71099410333822,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.95, 'e': 0.03949909390643792}",20,6,10.527047287796188,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.95, 'e': 0.03752413921111602}",30,20,6.741104259255883,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.95, 'e': 0.03564793225056022}",20,0,-13.650710823028728,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
66,False,"{'a': 0.95, 'e': 0.033865535638032206}",20,0,18.801736734268037,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
67,False,"{'a': 0.95, 'e': 0.03217225885613059}",25,14,20.445202000356012,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.95, 'e': 0.030563645913324063}",25,11,-16.11675259108464,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
69,False,"{'a': 0.95, 'e': 0.02903546361765786}",25,17,14.26136508909093,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.95, 'e': 0.027583690436774964}",20,0,31.595347798959754,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.95, 'e': 0.026204505914936217}",20,15,10.07323178279726,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.95, 'e': 0.024894280619189402}",20,8,22.001470747896917,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.95, 'e': 0.023649566588229934}",20,5,-15.423017790108599,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
74,False,"{'a': 0.95, 'e': 0.022467088258818435}",25,11,25.302227171564752,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.95, 'e': 0.02134373384587751}",20,16,7.377317825584761,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.95, 'e': 0.020276547153583634}",25,12,22.730362300410953,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.95, 'e': 0.01926271979590445}",25,16,17.18757700427512,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.95, 'e': 0.01829958380610923}",20,9,20.310250488499857,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.95, 'e': 0.017384604615803767}",35,0,46.726358193460776,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
80,False,"{'a': 0.95, 'e': 0.01651537438501358}",30,3,40.2940945299359,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
